trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
113 5.7 3.5743 0.6271 29.4286 7.9537 0.8307 22.58 5.3783 -0.4444 -0.9971 0.5959 0.5242 1 1 392.0741 735.3467 -3.4539 -0.92
114 5.3 60.0213 11.3248 29.866 9.0503 0.5704 32.9818 7.7481 0.609 0.2487 0.9963 0.2381 0.4545 0.6154 570.3622 416.1017 -20.8079 56.2991
115 5.3 126.0503 23.7831 92.4861 28.0261 12.4211 42.1834 8.2245 0.7052 0.4716 0.9976 0.2118 0 0.6154 182.5857 616.4005 -124.4373 -20.1007
116 5.3 15.1663 2.8616 31.9741 9.6891 0.719 40.5134 8.726 0.5232 0.0121 0.856 0.3028 0.8485 0.6923 477.8281 616.0648 15.0974 1.4437
117 5.3 71.2372 13.441 56.7313 17.1913 9.9143 28.6525 4.5504 0.7117 0.6383 0.8347 0.06309 0 0.6923 435.4854 139.0264 -48.5979 52.0863
118 5.3 8.6307 1.6284 56.9246 17.2499 2.8984 38.7481 11.3527 -0.623 -0.9996 0.996 0.6169 0.5455 0.9231 242.5519 566.5296 3.018 -8.0859
119 5.3 15.1726 2.8628 31.1455 9.438 0.7615 19.6883 4.8698 0.4235 -0.05983 0.9185 0.3352 1 0.7692 887.5919 735.7437 -14.6644 3.894
120 4.9 6.8241 1.3927 22.5629 7.7803 3.4724 14.2378 3.5472 0.407 -0.9149 0.9926 0.7668 1 0.5556 875.0739 62.3555 6.6483 1.5389
121 4.9 9.3179 1.9016 20.9849 7.2362 0.5804 13.1914 3.7325 0.519 -0.9943 0.9978 0.774 0.9655 0.2222 941.1777 548.2668 5.9288 -7.1883
122 4.9 22.1441 4.5192 34.5688 11.9203 4.1523 30.2062 6.5435 0.9921 0.9641 1 0.01116 0.5862 0 758.2356 366.5464 -10.793 19.3358
123 4.7 7.2293 1.5382 35.1031 13.0012 3.1582 23.4404 5.488 -0.8099 -0.9344 -0.4931 0.1507 0.2593 1 264.033 358.4473 6.5531 3.0529
124 4.7 28.2607 6.0129 23.507 8.7063 2.7446 25.0306 5.2928 0.9339 0.8803 0.9995 0.0489 0 0 458.7919 691.7714 10.8949 26.0762
